                 GoT character | # | Like 'Adrack Humble'
                       'Qhono' | 2 | 40.0% (3)
                        'Rast' | 3 | 40.0% (3)
                         'Ros' | 4 | 40.0% (3)
                        'Akho' | 5 | 20.0% (4)
                       'Bronn' | 6 | 20.0% (4)
                       'Gared' | 7 | 20.0% (4)
                       'Gordy' | 8 | 20.0% (4)

                 GoT character | # | Like 'Goldcloaks'
                       'Gordy' | 1 | 30.0% (7)
                       'Hodor' | 2 | 30.0% (7)
                       'Locke' | 3 | 30.0% (7)
                     'Old Man' | 4 | 30.0% (7)
                    'Polliver' | 5 | 30.0% (7)
                       'Zalla' | 6 | 30.0% (7)
                       'Billy' | 7 | 20.0% (8)
                  'Bolton Son' | 8 | 20.0% (8)

                 GoT character | # | Like 'Gordy'
                       'Borba' | 1 | 40.0% (3)
                       'Gared' | 2 | 40.0% (3)
                        'Gren' | 3 | 40.0% (3)
                        'Lady' | 4 | 40.0% (3)
                        'Nora' | 5 | 40.0% (3)
                       'Rorge' | 6 | 40.0% (3)
                       'Varly' | 7 | 40.0% (3)
                       'Yoren' | 8 | 40.0% (3)

                 GoT character | # | Like 'Grand Maester Pycelle'
            'Lord Mace Tyrell' | 1 | 47.6% (11)
               'Great Masters' | 2 | 42.9% (12)
               'Maester Aemon' | 3 | 42.9% (12)
            'Maester Caleotte' | 4 | 42.9% (12)
       'Queen Margaery Tyrell' | 5 | 42.9% (12)
          'Lady Olenna Tyrell' | 6 | 38.1% (13)
               'Maester Luwin' | 7 | 38.1% (13)
              'Master Cressen' | 8 | 38.1% (13)

                 GoT character | # | Like 'Great Masters'
                     'Craster' | 1 | 46.2% (7)
                  'Arya Stark' | 2 | 38.5% (8)
                  'Bran Stark' | 3 | 38.5% (8)
                   'Grey Worm' | 4 | 38.5% (8)
               'White Walkers' | 5 | 38.5% (8)
                  'Areo Hotah' | 6 | 30.8% (9)
                      'Gatins' | 7 | 30.8% (9)
                   'Grey Wind' | 8 | 30.8% (9)

                 GoT character | # | Like 'Gregor Clegane'
              'Sandor Clegane' | 1 | 71.4% (4)
          'Ser Gregor Clegane' | 2 | 77.8% (4)
                  'Areo Hotah' | 3 | 35.7% (9)
                'Arthur Dayne' | 4 | 35.7% (9)
                   'Grey Wind' | 5 | 35.7% (9)
                  'Lady Crane' | 6 | 35.7% (9)
            'Maester Caleotte' | 7 | 43.8% (9)
                      'Morgan' | 8 | 35.7% (9)

                 GoT character | # | Like 'Greizhen mo Ullhor'
           'Kraznys mo Nakloz' | 1 | 38.9% (11)
             'Eddison Tollett' | 2 | 33.3% (12)
                  'Areo Hotah' | 3 | 27.8% (13)
                   'Grey Worm' | 4 | 27.8% (13)
                 'Khal Forzho' | 5 | 27.8% (13)
              'Lem Lemoncloak' | 6 | 27.8% (13)
               'Oznak zo Pahl' | 7 | 27.8% (13)
              'Razdal mo Eraz' | 8 | 27.8% (13)

                 GoT character | # | Like 'Gren'
                       'Grenn' | 1 | 80.0% (1)
                       'Gared' | 2 | 60.0% (2)
                       'Yoren' | 3 | 60.0% (2)
                       'Bronn' | 4 | 40.0% (3)
                       'Gordy' | 5 | 40.0% (3)
                        'Irri' | 6 | 25.0% (3)
                       'Jaqen' | 7 | 40.0% (3)
                         'Lem' | 8 | 25.0% (3)

                 GoT character | # | Like 'Grenn'
                        'Gren' | 1 | 80.0% (1)
                       'Bronn' | 2 | 60.0% (2)
                     'Brienne' | 3 | 57.1% (3)
                     'Drennan' | 4 | 57.1% (3)
                       'Gared' | 5 | 40.0% (3)
                       'Orell' | 6 | 40.0% (3)
                       'Yoren' | 7 | 40.0% (3)
                      'Bannen' | 8 | 33.3% (4)

                 GoT character | # | Like 'Grey Wind'
                   'Grey Worm' | 1 | 66.7% (3)
                        'Gren' | 2 | 44.4% (5)
                       'Grenn' | 3 | 44.4% (5)
                     'Drennan' | 4 | 33.3% (6)
                       'Gared' | 5 | 33.3% (6)
                      'Gatins' | 6 | 33.3% (6)
                      'Guymon' | 7 | 33.3% (6)
                    'The Waif' | 8 | 33.3% (6)

                 GoT character | # | Like 'Grey Worm'
                   'Grey Wind' | 1 | 66.7% (3)
                  'Areo Hotah' | 2 | 40.0% (6)
                        'Gren' | 3 | 33.3% (6)
                       'Grenn' | 4 | 33.3% (6)
                      'Guymon' | 5 | 33.3% (6)
                   'Khal Moro' | 6 | 33.3% (6)
                    'The Waif' | 7 | 33.3% (6)
                  'Thenn Warg' | 8 | 40.0% (6)

                 GoT character | # | Like 'Guymon'
                      'Drogon' | 1 | 33.3% (4)
                        'Gren' | 2 | 33.3% (4)
                       'Grenn' | 3 | 33.3% (4)
                      'Summer' | 4 | 33.3% (4)
                        'Akho' | 5 | 16.7% (5)
                      'Bannen' | 6 | 16.7% (5)
                       'Bronn' | 7 | 16.7% (5)
                      'Dagmer' | 8 | 16.7% (5)

                 GoT character | # | Like 'Harker'
                      'Dagmer' | 1 | 50.0% (3)
                       'Gared' | 2 | 50.0% (3)
                      'Bannen' | 3 | 33.3% (4)
                       'Barra' | 4 | 33.3% (4)
                       'Biter' | 5 | 33.3% (4)
                      'Cersei' | 6 | 33.3% (4)
                      'Cooper' | 7 | 33.3% (4)
                     'Craster' | 8 | 42.9% (4)

                 GoT character | # | Like 'Harry Strickland'
                   'Grey Wind' | 1 | 37.5% (10)
                  'Lady Crane' | 2 | 37.5% (10)
                'Nymeria Sand' | 3 | 37.5% (10)
                  'Obara Sand' | 4 | 37.5% (10)
                  'Arya Stark' | 5 | 31.2% (11)
                  'Bran Stark' | 6 | 31.2% (11)
                'Ellaria Sand' | 7 | 31.2% (11)
                 'Janos Slynt' | 8 | 31.2% (11)

                 GoT character | # | Like 'Heward'
                       'Gared' | 1 | 33.3% (4)
                       'Hodor' | 2 | 33.3% (4)
                        'Leaf' | 3 | 33.3% (4)
                        'Mero' | 4 | 33.3% (4)
                       'Pypar' | 5 | 33.3% (4)
                       'Barra' | 6 | 16.7% (5)
                       'Biter' | 7 | 16.7% (5)
                      'Cersei' | 8 | 16.7% (5)

                 GoT character | # | Like 'Hill Tribesmen'
                     'Brienne' | 1 | 28.6% (10)
                'Ellaria Sand' | 2 | 28.6% (10)
                 'Karl Tanner' | 3 | 28.6% (10)
               'Maester Aemon' | 4 | 28.6% (10)
              'Master Cressen' | 5 | 28.6% (10)
