                 GoT character | # | Like 'Adrack Humble'
            'Tyrion Lannister' | 4 | 61.1% (7)
         'Ser Alton Lannister' | 5 | 57.9% (8)
         'Ser Kevan Lannister' | 6 | 57.9% (8)
            'Willem Lannister' | 7 | 55.6% (8)
        'Ser Lancel Lannister' | 8 | 55.0% (9)

                 GoT character | # | Like 'Stannis Baratheon'
      'King Stannis Baratheon' | 1 | 77.3% (5)
           'Joffrey Baratheon' | 2 | 58.8% (7)
        'King Renly Baratheon' | 3 | 55.0% (9)
      'Queen Selyse Baratheon' | 4 | 54.5% (10)
          'Daenerys Targaryen' | 5 | 38.9% (11)
                 'Khal Brozho' | 6 | 35.3% (11)
       'King Robert Baratheon' | 7 | 47.6% (11)
       'King Tommen Baratheon' | 8 | 47.6% (11)

                 GoT character | # | Like 'Stark Soldiers'
             'Bolton Soldiers' | 1 | 60.0% (6)
          'Lannister Soldiers' | 2 | 55.6% (8)
                      'Harker' | 3 | 35.7% (9)
               'Jafer Flowers' | 4 | 35.7% (9)
                 'Karl Tanner' | 5 | 35.7% (9)
                  'Obara Sand' | 6 | 35.7% (9)
       'Several Frey Soldiers' | 7 | 57.1% (9)
               'White Walkers' | 8 | 35.7% (9)

                 GoT character | # | Like 'Steve'
                        'Stiv' | 1 | 60.0% (2)
                        'Shae' | 2 | 40.0% (3)
                        'Styr' | 3 | 40.0% (3)
                       'Biter' | 4 | 20.0% (4)
                        'Gren' | 5 | 20.0% (4)
                       'Grenn' | 6 | 20.0% (4)
                        'Kegs' | 7 | 20.0% (4)
                        'Leaf' | 8 | 20.0% (4)

                 GoT character | # | Like 'Stiv'
                       'Steve' | 1 | 60.0% (2)
                        'Styr' | 2 | 50.0% (2)
                        'Shae' | 3 | 25.0% (3)
                        'Akho' | 4 |  0.0% (4)
                       'Biter' | 5 | 20.0% (4)
                      'Gatins' | 6 | 33.3% (4)
                       'Ghita' | 7 | 20.0% (4)
                        'Gren' | 8 |  0.0% (4)

                 GoT character | # | Like 'Stonesnake'
                       'Steve' | 1 | 40.0% (6)
                      'Bannen' | 2 | 30.0% (7)
                     'Brienne' | 3 | 30.0% (7)
                       'Bronn' | 4 | 30.0% (7)
                      'Doreah' | 5 | 30.0% (7)
                     'Drennan' | 6 | 30.0% (7)
                    'Jon Snow' | 7 | 30.0% (7)
                       'Locke' | 8 | 30.0% (7)

                 GoT character | # | Like 'Styr'
                        'Stiv' | 1 | 50.0% (2)
                       'Biter' | 2 | 40.0% (3)
                       'Othor' | 3 | 40.0% (3)
                        'Shae' | 4 | 25.0% (3)
                       'Steve' | 5 | 40.0% (3)
                         'Wyl' | 6 | 25.0% (3)
                        'Akho' | 7 |  0.0% (4)
                       'Barra' | 8 | 20.0% (4)

                 GoT character | # | Like 'Summer'
                      'Dagmer' | 1 | 50.0% (3)
                       'Biter' | 2 | 33.3% (4)
                      'Cooper' | 3 | 33.3% (4)
                      'Guymon' | 4 | 33.3% (4)
                      'Harker' | 5 | 33.3% (4)
                        'Shae' | 6 | 33.3% (4)
                       'Steve' | 7 | 33.3% (4)
                        'Styr' | 8 | 33.3% (4)

                 GoT character | # | Like 'Syrio Forel'
                  'Areo Hotah' | 1 | 36.4% (7)
                   'Grey Worm' | 2 | 36.4% (7)
                   'Pyat Pree' | 3 | 36.4% (7)
                     'Brienne' | 4 | 27.3% (8)
                      'Cooper' | 5 | 27.3% (8)
                      'Drogon' | 6 | 27.3% (8)
                       'Hodor' | 7 | 27.3% (8)
                 'Jory Cassel' | 8 | 27.3% (8)

                 GoT character | # | Like 'Tansy'
                       'Karsi' | 1 | 40.0% (3)
                        'Lady' | 2 | 40.0% (3)
                      'Ramsay' | 3 | 50.0% (3)
                        'Rast' | 4 | 40.0% (3)
                       'Sally' | 5 | 40.0% (3)
                       'Varly' | 6 | 40.0% (3)
                      'Bannen' | 7 | 33.3% (4)
                       'Barra' | 8 | 20.0% (4)

                 GoT character | # | Like 'The Copper King'
              'The Spice King' | 1 | 66.7% (5)
               'The Silk King' | 2 | 60.0% (6)
                      'Cooper' | 3 | 33.3% (10)
                  'Night King' | 4 | 33.3% (10)
                 'The Tickler' | 5 | 33.3% (10)
                    'The Waif' | 6 | 33.3% (10)
                  'Thenn Warg' | 7 | 33.3% (10)
               'Theon Greyjoy' | 8 | 33.3% (10)

                 GoT character | # | Like 'The High Septon'
            'The High Sparrow' | 1 | 68.8% (5)
               'The Silk King' | 2 | 40.0% (9)
                 'The Tickler' | 3 | 40.0% (9)
               'Maester Aemon' | 4 | 33.3% (10)
              'The Spice King' | 5 | 33.3% (10)
               'Theon Greyjoy' | 6 | 33.3% (10)
                  'Bolton Son' | 7 | 26.7% (11)
                'Master Eaton' | 8 | 26.7% (11)

                 GoT character | # | Like 'The High Sparrow'
             'The High Septon' | 1 | 68.8% (5)
               'The Silk King' | 2 | 37.5% (10)
                 'The Tickler' | 3 | 37.5% (10)
                  'Thenn Warg' | 4 | 37.5% (10)
                'Benjen Stark' | 5 | 31.2% (11)
                  'Khal Qorro' | 6 | 31.2% (11)
                   'Ned Stark' | 7 | 31.2% (11)
              'The Spice King' | 8 | 31.2% (11)

                 GoT character | # | Like 'The Silk King'
              'The Spice King' | 1 | 78.6% (3)
             'The Copper King' | 2 | 60.0% (6)
                 'The Tickler' | 3 | 46.2% (7)
                  'Night King' | 4 | 38.5% (8)
                    'The Waif' | 5 | 38.5% (8)
                  'Thenn Warg' | 6 | 38.5% (8)
                   'Grey Wind' | 7 | 30.8% (9)
             'The High Septon' | 8 | 40.0% (9)

                 GoT character | # | Like 'The Spice King'
               'The Silk King' | 1 | 78.6% (3)
             'The Copper King' | 2 | 66.7% (5)
                 'The Tickler' | 3 | 42.9% (8)
                  'Night King' | 4 | 35.7% (9)
                    'The Waif' | 5 | 35.7% (9)
                  'Thenn Warg' | 6 | 35.7% (9)
                  'Tyene Sand' | 7 | 35.7% (9)
                   'Grey Wind' | 8 | 28.6% (10)

                 GoT character | # | Like 'The Tickler'
                     'Rennick' | 1 | 36.4% (7)
               'The Silk King' | 2 | 46.2% (7)
                    'The Waif' | 3 | 36.4% (7)
                'White Walker' | 4 | 41.7% (7)
                       'Biter' | 5 | 27.3% (8)
                      'Harker' | 6 | 27.3% (8)
                   'Jon Umber' | 7 | 27.3% (8)
                 'Karl Tanner' | 8 | 27.3% (8)

                 GoT character | # | Like 'The Waif'
                  'Thenn Warg' | 1 | 60.0% (4)
                        'Leaf' | 2 | 37.5% (5)
                      'Cersei' | 3 | 25.0% (6)
                     'Drennan' | 4 | 25.0% (6)
                       'Ghita' | 5 | 25.0% (6)
                   'Grey Wind' | 6 | 33.3% (6)
                   'Grey Worm' | 7 | 33.3% (6)
                      'Heward' | 8 | 25.0% (6)

                 GoT character | # | Like 'Thenn Warg'
                    'The Waif' | 1 | 60.0% (4)
                  'Tyene Sand' | 2 | 50.0% (5)
                     'Drennan' | 3 | 40.0% (6)
                   'Grey Worm' | 4 | 40.0% (6)
                'Benjen Stark' | 5 | 41.7% (7)
                  'Bran Stark' | 6 | 30.0% (7)
                   'Dying Man' | 7 | 30.0% (7)
                       'Grenn' | 8 | 30.0% (7)

                 GoT character | # | Like 'Theon Greyjoy'
               'Euron Greyjoy' | 1 | 76.9% (3)
          'Lord Theon Greyjoy' | 2 | 72.2% (5)
          'King Balon Greyjoy' | 3 | 55.6% (8)
                  'Thenn Warg' | 4 | 38.5% (8)
                   'Emmon Cuy' | 5 | 30.8% (9)
                    'Jon Snow' | 6 | 30.8% (9)
                 'Khal Brozho' | 7 | 30.8% (9)
                  'Khal Drogo' | 8 | 30.8% (9)

                 GoT character | # | Like 'Three Eyed Raven'
              'Lord Ned Umber' | 1 | 37.5% (10)
                 'Brother Ray' | 2 | 31.2% (11)
                  'Meera Reed' | 3 | 31.2% (11)
             'The High Septon' | 4 | 31.2% (11)
               'The Silk King' | 5 | 31.2% (11)
                 'The Tickler' | 6 | 31.2% (11)
                    'The Waif' | 7 | 31.2% (11)
                  'Thenn Warg' | 8 | 31.2% (11)

                 GoT character | # | Like 'Tom'
                         'Lem' | 1 | 33.3% (2)
                         'Ros' | 2 | 33.3% (2)
                        'Nora' | 3 | 25.0% (3)
                         'Wyl' | 4 |  0.0% (3)
                        'Akho' | 5 |  0.0% (4)
                       'Borba' | 6 | 20.0% (4)
                       'Bronn' | 7 | 20.0% (4)
                       'Dongo' | 8 | 20.0% (4)

                 GoT character | # | Like 'Tormund'
                      'Lorren' | 1 | 42.9% (4)
                      'Morgan' | 2 | 42.9% (4)
                         'Tom' | 3 | 42.9% (4)
                       'Yoren' | 4 | 42.9% (4)
                       'Borba' | 5 | 28.6% (5)
                       'Bronn' | 6 | 28.6% (5)
                      'Doreah' | 7 | 28.6% (5)
                       'Gared' | 8 | 28.6% (5)

                 GoT character | # | Like 'Tortured Prisoner'
              'Lord Ned Umber' | 1 | 41.2% (10)
               'Lord of Bones' | 2 | 41.2% (10)
                'Arthur Dayne' | 3 | 35.3% (11)
            'Martyn Lannister' | 4 | 35.3% (11)
              'Master Cressen' | 5 | 35.3% (11)
                    'Mortimer' | 6 | 35.3% (11)
                 'The Tickler' | 7 | 35.3% (11)
            'Tyrion Lannister' | 8 | 35.3% (11)

                 GoT character | # | Like 'Tyene Sand'
                   'Dying Man' | 1 | 50.0% (5)
                'Nymeria Sand' | 2 | 58.3% (5)
                  'Obara Sand' | 3 | 50.0% (5)
                  'Thenn Warg' | 4 | 50.0% (5)
                     'Drennan' | 5 | 40.0% (6)
                   'Grey Wind' | 6 | 40.0% (6)
                    'The Waif' | 7 | 40.0% (6)
                      'Bannen' | 8 | 30.0% (7)

                 GoT character | # | Like 'Tyrion Lannister'
            'Martyn Lannister' | 1 | 75.0% (4)
             'Jaime Lannister' | 2 | 68.8% (5)
            'Lancel Lannister' | 3 | 62.5% (6)
         'Ser Alton Lannister' | 4 | 68.4% (6)
            'Willem Lannister' | 5 | 62.5% (6)
        'Lord Tywin Lannister' | 6 | 65.0% (7)
         'Ser Kevan Lannister' | 7 | 63.2% (7)
          'Stafford Lannister' | 8 | 61.1% (7)

                 GoT character | # | Like 'Varly'
                       'Sally' | 1 | 60.0% (2)
                       'Barra' | 2 | 40.0% (3)
                       'Billy' | 3 | 40.0% (3)
                       'Gared' | 4 | 40.0% (3)
                       'Gordy' | 5 | 40.0% (3)
                       'Karsi' | 6 | 40.0% (3)
                        'Lady' | 7 | 40.0% (3)
                       'Mully' | 8 | 40.0% (3)

                 GoT character | # | Like 'Vayon Poole'
                    'Jon Snow' | 1 | 36.4% (7)
                   'Pyat Pree' | 2 | 36.4% (7)
                'Waymar Royce' | 3 | 41.7% (7)
                  'Areo Hotah' | 4 | 27.3% (8)
                  'Bolton Son' | 5 | 27.3% (8)
                'Dickon Tarly' | 6 | 33.3% (8)
                       'Dongo' | 7 | 27.3% (8)
                   'Emmon Cuy' | 8 | 27.3% (8)

                 GoT character | # | Like 'Viserion'
                       'Biter' | 1 | 37.5% (5)
                        'Mero' | 2 | 37.5% (5)
                     'Simpson' | 3 | 37.5% (5)
                       'Bronn' | 4 | 25.0% (6)
                      'Cersei' | 5 | 25.0% (6)
                     'Drennan' | 6 | 25.0% (6)
                      'Drogon' | 7 | 25.0% (6)
                        'Gren' | 8 | 25.0% (6)

                 GoT character | # | Like 'Walder Frey'
            'Lord Walder Frey' | 1 | 68.8% (5)
                 'Lothar Frey' | 2 | 54.5% (5)
                      'Wallen' | 3 | 36.4% (7)
                'Water Dancer' | 4 | 41.7% (7)
                       'Barra' | 5 | 27.3% (8)
                 'Brother Ray' | 6 | 27.3% (8)
                      'Cersei' | 7 | 27.3% (8)
                      'Dagmer' | 8 | 27.3% (8)

                 GoT character | # | Like 'Wallen'
                      'Bannen' | 1 | 50.0% (3)
                       'Jaqen' | 2 | 50.0% (3)
                       'Sally' | 3 | 50.0% (3)
                        'Will' | 4 | 50.0% (3)
                       'Zalla' | 5 | 50.0% (3)
                       'Billy' | 6 | 33.3% (4)
                      'Dagmer' | 7 | 33.3% (4)
                       'Gared' | 8 | 33.3% (4)

                 GoT character | # | Like 'Water Dancer'
                 'Karl Tanner' | 1 | 50.0% (6)
                'White Walker' | 2 | 50.0% (6)
                'Arthur Dayne' | 3 | 41.7% (7)
               'Jafer Flowers' | 4 | 46.2% (7)
                'Master Eaton' | 5 | 41.7% (7)
                 'Walder Frey' | 6 | 41.7% (7)
                'Waymar Royce' | 7 | 41.7% (7)
               'White Walkers' | 8 | 46.2% (7)

                 GoT character | # | Like 'Waymar Royce'
                 'Robar Royce' | 1 | 66.7% (4)
                 'Vayon Poole' | 2 | 41.7% (7)
                'Water Dancer' | 3 | 41.7% (7)
                  'Amory Loch' | 4 | 33.3% (8)
                'Arthur Dayne' | 5 | 33.3% (8)
                   'Pyat Pree' | 6 | 33.3% (8)
                     'Rakharo' | 7 | 33.3% (8)
                 'Walder Frey' | 8 | 33.3% (8)

                 GoT character | # | Like 'Wendel Manderly'
                'Water Dancer' | 1 | 46.7% (8)
                 'Karl Tanner' | 2 | 40.0% (9)
                  'Melisandre' | 3 | 40.0% (9)
               'Samwell Tarly' | 4 | 40.0% (9)
                  'Tyene Sand' | 5 | 40.0% (9)
                 'Walder Frey' | 6 | 40.0% (9)
                'White Walker' | 7 | 40.0% (9)
               'White Walkers' | 8 | 40.0% (9)

                 GoT character | # | Like 'White Rat'
                       'Ghita' | 1 | 44.4% (5)
                'White Walker' | 2 | 58.3% (5)
                       'Biter' | 3 | 33.3% (6)
                 'Brother Ray' | 4 | 45.5% (6)
                   'Dying Man' | 5 | 33.3% (6)
                     'Rhaegal' | 6 | 33.3% (6)
                    'The Waif' | 7 | 33.3% (6)
               'White Walkers' | 8 | 53.8% (6)

                 GoT character | # | Like 'White Walker'
               'White Walkers' | 1 | 92.3% (1)
                   'White Rat' | 2 | 58.3% (5)
                'Water Dancer' | 3 | 50.0% (6)
                 'The Tickler' | 4 | 41.7% (7)
                    'The Waif' | 5 | 41.7% (7)
                       'Biter' | 6 | 33.3% (8)
                       'Ghita' | 7 | 33.3% (8)
                      'Harker' | 8 | 33.3% (8)

                 GoT character | # | Like 'White Walker Lieutenant'
                'White Walker' | 1 | 52.2% (11)
               'White Walkers' | 2 | 52.2% (11)
         'Black Walder Rivers' | 3 | 39.1% (14)
            'Lord Walder Frey' | 4 | 34.8% (15)
             'The Copper King' | 5 | 34.8% (15)
               'The Silk King' | 6 | 34.8% (15)
                   'White Rat' | 7 | 34.8% (15)
             'Jaime Lannister' | 8 | 30.4% (16)

                 GoT character | # | Like 'White Walkers'
                'White Walker' | 1 | 92.3% (1)
                   'White Rat' | 2 | 53.8% (6)
                'Water Dancer' | 3 | 46.2% (7)
               'Great Masters' | 4 | 38.5% (8)
                 'The Tickler' | 5 | 38.5% (8)
                    'The Waif' | 6 | 38.5% (8)
                  'Thenn Warg' | 7 | 38.5% (8)
                       'Biter' | 8 | 30.8% (9)

                 GoT character | # | Like 'Wights'
                        'Kegs' | 1 | 33.3% (4)
                        'Will' | 2 | 33.3% (4)
                        'Akho' | 3 | 16.7% (5)
                       'Billy' | 4 | 16.7% (5)
                       'Biter' | 5 | 16.7% (5)
                      'Dagmer' | 6 | 16.7% (5)
                      'Gatins' | 7 | 16.7% (5)
                       'Ghita' | 8 | 16.7% (5)

                 GoT character | # | Like 'Will'
                       'Billy' | 1 | 60.0% (2)
                         'Wyl' | 2 | 50.0% (2)
                       'Mully' | 3 | 40.0% (3)
                        'Olly' | 4 | 25.0% (3)
                       'Orell' | 5 | 40.0% (3)
                       'Sally' | 6 | 40.0% (3)
                      'Wallen' | 7 | 50.0% (3)
                       'Zalla' | 8 | 40.0% (3)

                 GoT character | # | Like 'Willem Lannister'
             'Jaime Lannister' | 1 | 68.8% (5)
            'Lancel Lannister' | 2 | 68.8% (5)
            'Martyn Lannister' | 3 | 62.5% (6)
            'Tyrion Lannister' | 4 | 62.5% (6)
         'Ser Alton Lannister' | 5 | 57.9% (8)
         'Ser Kevan Lannister' | 6 | 57.9% (8)
          'Stafford Lannister' | 7 | 55.6% (8)
                 'Karl Tanner' | 8 | 43.8% (9)

                 GoT character | # | Like 'Winterfell Shepard'
                'Benjen Stark' | 1 | 33.3% (12)
               'Catelyn Stark' | 2 | 33.3% (12)
             'King Robb Stark' | 3 | 33.3% (12)
             'Lannister Guard' | 4 | 33.3% (12)
                'Nymeria Sand' | 5 | 33.3% (12)
                  'Tyene Sand' | 6 | 33.3% (12)
                'Water Dancer' | 7 | 33.3% (12)
                'White Walker' | 8 | 33.3% (12)

                 GoT character | # | Like 'Wun Weg Wun Dar Wun'
         'Mag Mar Tun Doh Weg' | 1 | 42.1% (11)
             'Wendel Manderly' | 2 | 31.6% (13)
                'Benjen Stark' | 3 | 26.3% (14)
              'Lord Jon Arryn' | 4 | 26.3% (14)
            'Ser Arthur Dayne' | 5 | 26.3% (14)
             'Ser Meryn Trant' | 6 | 26.3% (14)
                  'Thenn Warg' | 7 | 26.3% (14)
                'Water Dancer' | 8 | 26.3% (14)

                 GoT character | # | Like 'Wyl'
                        'Will' | 1 | 50.0% (2)
                         'Lem' | 2 |  0.0% (3)
                        'Olly' | 3 | 25.0% (3)
                         'Ros' | 4 |  0.0% (3)
                        'Styr' | 5 | 25.0% (3)
                         'Tom' | 6 |  0.0% (3)
                        'Akho' | 7 |  0.0% (4)
                       'Billy' | 8 | 20.0% (4)

                 GoT character | # | Like 'Xaro Xhoan Daxos'
                'Arthur Dayne' | 1 | 31.2% (11)
                  'Bolton Son' | 2 | 31.2% (11)
                 'Brother Ray' | 3 | 31.2% (11)
              'Daario Naharis' | 4 | 31.2% (11)
                 'Karl Tanner' | 5 | 31.2% (11)
              'Lord Jon Arryn' | 6 | 31.2% (11)
              'Lord Jon Umber' | 7 | 31.2% (11)
               'Lord of Bones' | 8 | 31.2% (11)

                 GoT character | # | Like 'Ygritte'
                      'Smitty' | 1 | 42.9% (4)
                       'Biter' | 2 | 28.6% (5)
                     'Brienne' | 3 | 28.6% (5)
                     'Craster' | 4 | 28.6% (5)
                       'Ghita' | 5 | 28.6% (5)
                        'Irri' | 6 | 28.6% (5)
                       'Rorge' | 7 | 28.6% (5)
                       'Yoren' | 8 | 28.6% (5)

                 GoT character | # | Like 'Yoren'
                        'Gren' | 1 | 60.0% (2)
                      'Lorren' | 2 | 66.7% (2)
                       'Borba' | 3 | 40.0% (3)
                      'Doreah' | 4 | 50.0% (3)
                       'Gared' | 5 | 40.0% (3)
                       'Gordy' | 6 | 40.0% (3)
                       'Grenn' | 7 | 40.0% (3)
                       'Jaqen' | 8 | 40.0% (3)

                 GoT character | # | Like 'Zalla'
                       'Sally' | 1 | 60.0% (2)
                       'Barra' | 2 | 40.0% (3)
                       'Billy' | 3 | 40.0% (3)
                       'Mully' | 4 | 40.0% (3)
                        'Olly' | 5 | 40.0% (3)
                       'Varly' | 6 | 40.0% (3)
                      'Wallen' | 7 | 50.0% (3)
                        'Will' | 8 | 40.0% (3)

